Date,Name,PPSNo.,JobCategory,JobRole,PayScale,GrossPay,USC,PRSI,PAYE,NetPay,Hours
2024-11-29,John Doe,1234567A,administrative,administrator,18,3491,81,143,698,2568,40
2024-11-29,Jane Smith,2345678B,academic,fullProfessor,6,14756,889,605,5202,8059,40
2024-11-29,Bob Johnson,3456789C,it,analystProgrammer1,10,4847,135,198,1238,3273,40
2024-11-29,Alice Brown,4567890D,technical,seniorTechnicalOfficer,16,5940,183,243,1676,3837,40
2024-11-29,Tom White,5678901E,serviceStaff,groundsSupervisor,13,3513,82,144,705,2581,40
2024-11-29,Emma Davis,6789012F,teachers,universityTeacher,10,5330,155,218,1432,3524,40
2024-11-29,Liam Green,7890123G,library,assistantLibrarian2,11,6949,264,284,2079,4320,40
2024-11-29,Sophia Wilson,0123456J,clinical,clinicalFellow,7,7691,323,315,2376,4675,40
2024-11-29,Davie Jones,1212121K,ulac,leadInstructor,1,451.84000000000003,0.0,0.0,64.0,320.0,32.0
2024-12-01,John Doe,1234567A,administrative,administrator,2,3491.00,81.67,143.08,698.17,2568.08,160
2024-12-01,Jane Smith,2345678B,academic,fullProfessor,2,14756.50,889.08,605.00,5202.58,8059.83,160
2024-12-01,Bob Johnson,3456789C,it,analystProgrammer1,1,4847.00,135.92,198.67,1238.75,3273.67,160
2024-12-01,Alice Brown,4567890D,technical,seniorTechnicalOfficer,1,5940.83,183.83,243.50,1676.33,3837.17,160
2024-12-01,Tom White,5678901E,serviceStaff,groundsSupervisor,2,3513.75,82.58,144.00,705.50,2581.67,160
2024-12-01,Emma Davis,6789012F,teachers,universityTeacher,2,5330.42,155.25,218.50,1432.17,3524.50,160
2024-12-01,Liam Green,7890123G,library,assistantLibrarian2,2,6949.75,264.50,284.92,2079.83,4320.50,160
2024-12-01,Olivia Black,8901234H,ulac,coopStudents,2,121.88,1.57,5.00,24.38,90.94,10.00
2024-12-01,Noah Gray,9012345I,education,epsCategoryManager,2,7558.17,313.17,309.83,2323.25,4611.92,160
2024-12-01,Sophia Wilson,0123456J,clinical,clinicalFellow,2,7691.17,323.83,315.33,2376.42,4675.58,160
2024-12-01,tesss,1232121A,ulac,coopStudents,2,.00,.00,.00,.00,.00,.00
